카테고리,goods_no,brand,name,price_org,price_cur,score,review_count,tags,link,img_url
비타민,A000000234050,바이너랩,바이너랩 부스티 아르기닌 7개입 (7일분),34900,29900,4.9,304,"세일, 증정, 오늘드림",https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000234050,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/400/10/0000/0023/A00000023405009ko.png?l=ko
비타민,A000000234110,키즈텐,키즈텐 어린이 종합비타민 미네랄 30포 (1개월분),22500,20900,5.0,6,"세일, 오늘드림",https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000234110,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/400/10/0000/0023/A00000023411001ko.jpg?l=ko
비타민,A000000234118,키즈텐,키즈텐 어린이 멀티비타민 미네랄 구미 60구미 (1개월분),,25000,5.0,14,오늘드림,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000234118,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/400/10/0000/0023/A00000023411801ko.jpg?l=ko
비타민,A000000234197,스포식스,뉴케어 스포식스 옵티멈 비타민B (900mgX30정),,12900,5.0,999+,오늘드림,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000234197,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/400/10/0000/0023/A00000023419702ko.jpg?l=ko
비타민,A000000235102,헬퓨,헬퓨 비건 비타민D3 2000IU 60캡슐 (2개월분),18000,17100,4.9,36,"세일, 오늘드림",https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000235102,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/400/10/0000/0023/A00000023510210ko.jpg?l=ko
비타민,A000000235208,뉴칸,뉴칸 더블파워 밀크씨슬+멀티비타민 1개입 (1일분),4600,3170,4.9,999+,"세일, 오늘드림",https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000235208,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/400/10/0000/0023/A00000023520801ko.jpg?l=ko
비타민,A000000235530,영롱,영롱 비건 베리 비타민C 30정 (1개월분),29000,28000,4.9,19,"세일, 오늘드림",https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000235530,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/400/10/0000/0023/A00000023553002ko.jpg?l=ko
비타민,A000000235549,영롱,영롱 멜라치온 미네랄 60정 (1개월분),29000,28500,5.0,16,"세일, 오늘드림",https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000235549,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/400/10/0000/0023/A00000023554903ko.jpg?l=ko
비타민,A000000235906,슬로우글로우,슬로우글로우 비타민 C&D 듀얼 구미 30구미 (1개월분),18900,17900,4.9,38,"세일, 오늘드림",https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000235906,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/400/10/0000/0023/A00000023590601ko.jpg?l=ko
비타민,A000000236167,하루틴,[올영단독] 하루틴 온 리포좀 비타민C 30정 (1개월분),13900,12900,5.0,999+,"세일, 오늘드림",https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000236167,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/400/10/0000/0023/A00000023616708ko.jpg?l=ko
