순위,상품번호,도서명,부제목,저자,출판사,출판일,할인율,판매가,정가,판매지수,리뷰수,평점
176,186939301,바이브 코딩 with 구글 안티그래비티,코드 한 줄 몰라도 내 손으로 만드는 12가지 웹/앱 서비스,노성환,영진닷컴,2026년 04월,10%,"16,200원","18,000원","1,002",34,9.8
177,183919456,모두의 노션 AI,초보자도 바로 써먹는 노션 입문서,"임대균,오가연",생능북스,2026년 04월,10%,"15,120원","16,800원","2,280",52,9.8
178,183756523,앗싸 나도 되네! 오늘부터 바로 써먹는 AI 보험영업 활용법,대수굿쌤의 AI활용 실전 프롬프트 67가지,조대수,재노북스,2026년 03월,10%,"25,200원","28,000원","2,343",1,10.0
179,183530330,바로바로 바이브 코딩 with 커서 AI,"인공지능, 자동화, 크롤링, 웹페이지, 바로 배우고 바로 써먹는 AI 코딩 입문서",박현규,골든래빗,2026년 04월,10%,"27,000원","30,000원","3,459",10,10.0
180,182750165,이것이 리눅스다 with Rocky Linux 10,현업 서버 환경 그대로 재현하는 실무 리눅스 풀코스 입문,우재남,한빛미디어,2026년 03월,10%,"36,000원","40,000원","1,116",12,9.8
181,182628538,새나곰의 똥손도 바로 시작하는 인스타툰 그리기 with 클립 스튜디오,인스타툰 채널을 키우고 수익화하는 실전 노하우부터 완성이 빨라지는 클립 스튜디오 활용 꿀팁까지!,새나곰(정은아),한빛미디어,2026년 03월,10%,"20,700원","23,000원","1,716",18,10.0
182,181117854,된다! AI 상위 노출,"챗GPT, 제미나이, 네이버에 내 콘텐츠가 1순위로 선택된다! 국내 최초 AIEO 실무서",이중대,이지스퍼블리싱,2026년 03월,10%,"17,100원","19,000원","4,152",28,10.0
183,180335619,요즘 직장인을 위한 실무 보고서 작성 비법,"기획서, 소개서, 이메일, 품의서, 계약서, 공문서 작성까지 AI는 모르는, 우리 회사에서 인정받는 보고서 글쓰기 특강",김태영,시프트,2026년 03월,10%,"18,000원","20,000원","2,502",9,10.0
184,179694520,맛있는 디자인 피그마 with AI,디자인 시스템을 완성하는 UI/UX 실전 레시피,이영주,한빛미디어,2026년 02월,10%,"25,200원","28,000원","1,872",124,9.9
185,171566846,제로클릭,"클릭의 종말, AI 시대의 생존 전략",손승완,길벗,2026년 01월,10%,"16,920원","18,800원","5,520",49,9.7
186,171377541,유리링의 실전 게임 시스템 기획,"게임 시스템, 규칙 설계, 데이터 테이블, UX까지! 감으로 만들던 게임을 논리로 완성하는 게임 기획 튜토리얼",정윤지(유리링),한빛미디어,2026년 01월,10%,"22,500원","25,000원","2,346",10,9.8
187,169704757,직장인을 위한 AI 실무 엑셀,[최신개정] AI로 실무 완벽 대응! 실전! 비즈니스 엑셀 완전 정복,선양미,길벗,2025년 12월,10%,"22,500원","25,000원","3,711",43,10.0
188,168840773,수노로 시작하는 AI 작곡,"10분이면 완성하는 배경음악, 대중음악, 동요 제작 가이드","강성우,한나래",제이펍,2025년 12월,10%,"18,000원","20,000원","4,236",21,8.7
189,168654454,컴퓨팅 사고와 정보과학 : 2025년도 기출문제집(중·고등학생용),,한국비버챌린지 (Bebras Korea),생능출판사,2025년 12월,10%,"13,500원","15,000원","1,956",4,10.0
190,167719977,"서논술형 평가, AI로 깊이를 더하다","성취기준, 형성평가, 총괄평가, 피드백, 루브릭, 질문, 과정 중심 평가, 깊이 있는 학습, AI 비서, AI 기반 채점·피드백 플랫폼","지미정,장희영,권의선,이진원,김수경저 외 1명정보 더 보기/감추기지미정장희영권의선이진원김수경박범진",앤써북,2025년 12월,10%,"22,950원","25,500원","6,075",13,10.0
191,163601068,"바이브 코딩 너머 개발자 생존법: 개발자는 사라지지 않는다, 진화한다",,애디 오스마니저/강민혁역,한빛미디어,2025년 11월,10%,"20,700원","23,000원","4,920",26,9.7
192,160217631,써니쌤과 함께 처음 시작하는 SNS 디자인 캔바,,써니쌤 강성은,시원북스,2025년 10월,10%,"17,820원","19,800원","9,024",270,10.0
193,154182485,처음이지만 프로처럼 쓰는 노션 Notion,데이터베이스 기초부터 자동화 시스템까지,박한용,디지털북스,2025년 09월,10%,"22,500원","25,000원","6,543",39,9.9
194,151041605,회사에서 바로 통하는 오토캐드 AutoCAD 2026,"건축, 인테리어, 기계 실무 도면 기본기 완성",심미현,한빛미디어,2025년 08월,10%,"26,100원","29,000원","2,910",19,9.7
195,150110126,콘텐츠 디자인은 피그마 with AI,"마케팅, 기획을 위한 올인원 디자인 플랫폼! 기초 사용법, 플러그인, 인공지능 기능부터 배너, 카드 뉴스 템플릿, 상세페이지 자동화까지",김선영,골든래빗,2025년 08월,10%,"23,400원","26,000원","5,568",10,9.8
196,146929026,선생님을 위한 교육용 AI 챗봇 활용법,"교육용 챗봇, 개념기반탐구수업, 투닝GPT, MIZOU(미조우), 매직스쿨AI, 브리스크 티칭, E-GPT(이집트), GPT-API, 프롬프트 엔지니어링, 맞춤형 학습","임세범,박지은,나희정,조정연",앤써북,2025년 06월,10%,"20,250원","22,500원","2,160",10,10.0
197,142763143,레트로의 유니티 6 게임 프로그래밍 에센스,4가지 게임을 만들면서 배우는 실전 유니티 개발 가이드,이제민,한빛미디어,2025년 02월,10%,"59,400원","66,000원","4,296",72,9.8
198,142258696,혼자 만들면서 공부하는 파이썬,"37개 라이브러리와 API로 보고서, 차트, 게임, 맵, AI 챗봇 만들기",문현일,한빛미디어,2025년 02월,10%,"23,400원","26,000원","3,021",38,9.7
199,140407763,된다! 7일 구글 스프레드시트,,이지현,이지스퍼블리싱,2025년 01월,10%,"18,000원","20,000원","2,181",10,10.0
200,135800272,이것이 우분투 리눅스다,"우분투 리눅스 설치부터 네트워크와 서버 구축, 운영까지",우재남저/박길식감수,한빛미디어,2024년 11월,10%,"32,400원","36,000원","2,544",25,9.7
201,133823740,인공지능이 다 해주는 브루 Vrew 영상 편집,"유튜브, 숏폼 영상부터 버튜버, 인공지능 목소리 더빙까지 생성형 AI로 영상 콘텐츠 제작하기",지현이저/브루 개발팀감수,시프트,2024년 10월,10%,"18,000원","20,000원","8,058",19,9.7
202,133174601,NEW 우당탕탕 엑셀 2021로 계산하기,,교재개발팀,마린북스,2024년 08월,10%,"12,600원","14,000원","1,368",0,
203,122535588,클립 스튜디오 입문 교실,일러스트레이터와 웹툰 작가를 위한,사이도런치저/고영자역,영진닷컴,2023년 09월,10%,"20,700원","23,000원","2,148",16,9.7
204,118982111,혼자 공부하는 C 언어,1:1 과외하듯 배우는 프로그래밍 자습서,서현우,한빛미디어,2023년 05월,10%,"23,400원","26,000원","11,211",54,9.6
205,109182479,구글 엔지니어는 이렇게 일한다,"구글러가 전하는 문화, 프로세스, 도구의 모든 것","타이터스 윈터스,톰 맨쉬렉,하이럼 라이트저/개앞맵시역",한빛미디어,2022년 05월,10%,"40,500원","45,000원","1,380",40,9.3
206,106404609,데이터베이스 개론,,김연희,한빛아카데미,2022년 01월,,"29,000원","29,000원","3,516",11,9.1
207,99359735,소프트웨어 테스트 전문가(CSTS) 가이드,,한국정보통신기술협회(TTA),홍릉,2021년 04월,5%,"31,350원","33,000원","6,978",6,8.0
208,91165789,비전공자를 위한 이해할 수 있는 IT 지식,IT시대의 필수 교양서,최원영,티더블유아이지,2020년 07월,10%,"15,120원","16,800원","5,607",170,8.8
209,89496122,운영체제,,"Abraham Silberschatz,Peter Baer Galvin,Greg Gagne저/박민규역",퍼스트북,2020년 02월,,"39,000원","39,000원","3,801",27,7.3
210,77283734,클린 아키텍처,소프트웨어 구조와 설계의 원칙,로버트 C. 마틴저/송준이역,인사이트(insight),2019년 08월,10%,"26,100원","29,000원","3,756",45,9.6
211,69750539,C언어로 쉽게 풀어쓴 자료구조,,"천인국,공용해,하상호",생능출판사,2019년 02월,,"29,000원","29,000원","7,056",39,9.5
212,67350256,함께 자라기,애자일로 가는 길,김창준,인사이트(insight),2018년 11월,10%,"11,700원","13,000원","3,015",61,9.3
213,189854100,AI가 다 하고 내가 돈 버는 앱 만들기,"AI로 기획, 개발, 배포까지 스토어에서 1위하는 나만의 앱 만들기!",서희찬,길벗,2026년 05월,10%,"25,200원","28,000원","1,248",5,9.2
214,189212974,나는 왜 개발자 말이 어려울까?,외계어 같은 개발 용어 사이에서 살아남기 위한 생존 소통 가이드,이프로,경이로움,2026년 05월,10%,"19,800원","22,000원",804,1,10.0
215,188859248,알고 나면 무조건 써먹는 실무 엑셀,20년 차 기업 교육 No.1 엑셀 강사 정훈희쌤이 알려주는 엑셀 왕초보 강의,정훈희,한빛미디어,2026년 05월,10%,"20,700원","23,000원",978,13,9.7
216,167428992,요즘 바이브 코딩 깃허브 코파일럿 31가지 프로그램 만들기,"인공지능 코딩, AI 포트폴리오, 바탕화면 정리 앱, PDF 편집기, 이메일 자동화, 주식 크롤링, QR 코드 생성기, 노션 스타일 게시판, 대시보드 만들기, 블로그 만들기",박현규,골든래빗,2025년 12월,10%,"21,600원","24,000원","2,871",4,10.0
217,130156635,AI를 위한 필수 수학,"AI 시스템에 쓰이는 통계학, 선형 대수학, 미적분학",할라 넬슨저/안민재역,한빛미디어,2024년 08월,10%,"40,500원","45,000원","2,640",12,9.5
218,191580688,Do it! 스프링 AI를 활용한 AI 에이전트 개발 입문,LLM+RAG+도구 호출+MCP+멀티모달+벡터 DB,박매일,이지스퍼블리싱,2026년 06월,10%,"30,600원","34,000원",180,0,
219,191547369,AI 트러스트노믹스,,박대성,커뮤니케이션북스,2026년 06월,,"12,000원","12,000원",330,0,
220,191543420,스마트폰 생존 기술 10가지,,박해경,BOOKK(부크크),2026년 05월,,"18,900원","18,900원",180,0,
221,190452488,다중 에이전트 시스템을 위한 컨텍스트 엔지니어링,더 적은 토큰으로 더 똑똑하게 일하는 체계적 접근법,"데니스 로스먼저/류광,307번역랩역",위키북스,2026년 06월,10%,"28,800원","32,000원",222,0,
222,190440092,베테랑 AI 전문교사가 만든 가장 쉬운 패들렛 활용! Padlet(패들렛)으로 무엇이든 만들 수 있다 (교사를 위한 패들렛 수업 활용),"템플릿, AI 레시피, 샌드박스, 아케이드","봉우리,윤상준,이호준,황호연",광문각출판미디어,2026년 05월,,"17,000원","17,000원",810,12,10.0
223,190408429,AI 숏폼 동영상 구글 플로우 FLOW 비오3 VEO3 유튜브 쇼츠 인스타그램 릴스 틱톡 네이버 클립 인공지능 만들기 제작 책 학원강의 교재보다 좋은 USB 강좌 초보 교육 사용법,,편집부,액션미디어,2026년 06월,,"39,800원","39,800원",264,2,10.0
224,189858146,제미나이 실무 활용 가이드 USB,gemini AI  구글 글쓰기 이미지 생성형 동영상 코딩 사용법  책 교재 강좌 강의 교육 젬스 노트북LM 나노바나나 플로우 워크스페이스 업무,액션미디어 편집부,액션미디어,2026년 06월,,"39,800원","39,800원",348,2,10.0
225,189752153,나도 해볼까? 요즘 코인 투자,"거래소 가입부터 코인 매수·매도, 스테이킹까지 실제 거래소 화면으로 시작하는 실전 코인 투자",김규태,길벗,2026년 06월,10%,"19,800원","22,000원",264,4,10.0
226,189628201,AI 바이브 코딩 마스터,Lovable로 만드는 5가지 프로젝트,"정의석,정윤식",영진닷컴,2026년 05월,10%,"32,400원","36,000원",600,18,10.0
227,188920799,"세상을 복제하는 공장, Physical AI 데이터팩토리 실습 : 심화",,손병희,꾸그티처스,2026년 03월,10%,"13,500원","15,000원",390,1,2.0
228,188189600,중국 휴머노이드 로봇,산업의 발전상과 피지컬 AI 산업 전략,김종문,다빈치books,2026년 05월,10%,"19,800원","22,000원",894,7,10.0
229,186524948,그림으로 이해하는 AWS 구조와 기술,"AWS, 쉽고 재미있게 시작하자!",오가사와라 시게타카저/박광수역,길벗,2026년 04월,10%,"23,400원","26,000원","1,338",44,9.2
230,185472118,콘텐츠 디자인 with 나노 바나나,"사진 보정, 썸네일, 캐릭터 디자인, 상세 페이지, 홍보 포스터, 웹툰, 이모티콘, 굿즈까지 누구나 디자인 가능한 나노 바나나 완벽 가이드",홍순성,한빛미디어,2026년 04월,10%,"25,200원","28,000원",606,13,9.8
231,183757381,Do it! 깡샘의 안드로이드 앱 프로그래밍 with 코틀린 ─ 개정 5판,친절한 문법 설명 + 19개 실습 예제로 배우는 모바일 앱 개발,강성윤,이지스퍼블리싱,2026년 03월,10%,"37,800원","42,000원",687,14,9.4
232,183072607,30가지 예제로 따라 하며 배우는 ComfyUI 클라우드,"ComfyUI 하나로 나노 바나나, Veo, Kling AI, WAN, Topaz Video까지 활용! 영상 제작 워크플로를 구축하고, 고퀄리티 AI 영상 제작하기","여승호,신무경",제이펍,2026년 03월,10%,"19,800원","22,000원","1,386",9,10.0
233,182116268,제미나이로 구글·이미지·영상·자동화 진짜 잘함,"구글 AI 생태계의 끝판왕, 제미나이 with 나노바나나 2, 비오 3.1, 노트북LM",이호정,리코멘드,2026년 03월,10%,"16,920원","18,800원","1,806",21,10.0
234,180953300,슈퍼휴먼 슈퍼워크,1인이 100인의 임팩트를 만드는 AI 에이전트 시대가 온다,"유호현,김진실",골든래빗,2026년 03월,10%,"21,600원","24,000원","2,562",105,9.9
235,180513902,"나야, 구글 에듀테크. 질문이 답이 되는 제미나이 수업 솔루션","제미나이 프롬프트 디자인과 노트북LM 수업 설계, 구글 워크스페이스 행정 업무를 한 권에 담은 실전 가이드","장승아,조원정",위키북스,2026년 03월,10%,"21,600원","24,000원","1,017",0,
236,180490506,누구나 쉽게 시작하는 방구석 1인 앱 창업,AI와 함께하는 앱 기획부터 애드몹 수익화까지 돈 버는 앱 만들기,김건희,제이펍,2026년 03월,10%,"25,200원","28,000원","1,938",5,10.0
237,180489490,AI 중심 대학,AI 에이전틱 대학 혁명,장준호,연암사,2026년 03월,10%,"17,010원","18,900원","1,008",8,10.0
238,180468863,n8n 업무 자동화 일잘러 되기,"웹 스크래핑, GPT API, RAG 챗봇, 10가지 자동화 워크플로, n8n 업무 자동화 능력자가 되기 위한 풀 패키지","메이허,에디 유",골든래빗,2026년 03월,10%,"32,400원","36,000원","2,484",30,10.0
239,180386822,이펙티브 파이썬,"더 명확하고, 더 안전하고, 더 파이썬다운 코드를 작성하는 실전 가이드 125",브렛 슬라킨저/오현석역,길벗,2026년 02월,10%,"37,800원","42,000원","1,719",14,9.9
240,180386716,AI 워커스: 리디자인,,김아람,스마트북스,2026년 03월,10%,"22,500원","25,000원","1,242",5,10.0
241,180209658,캔바 AI,매일매일 쓰는 모두의 AI,"신승희,앤미디어",생능북스,2026년 03월,10%,"21,600원","24,000원","3,420",61,9.9
242,179619201,"목사님, AI와 동역하시겠습니까?",,김시준,세움북스,2026년 02월,5%,"20,900원","22,000원","2,580",10,10.0
243,178728314,QA를 넘어 개발자도 알아야 할 AI 에이전트 품질 가이드,"정답 없는 AI 서비스의 신뢰 기준, LLM Judge 평가 전략","정상미,김성수",프리렉,2026년 02월,10%,"25,200원","28,000원","1,380",1,10.0
244,177288116,엑셀로 시작하는 데이터 분석과 업무 자동화,,김철,영진닷컴,2026년 02월,10%,"28,800원","32,000원","1,332",18,10.0
245,176913080,한 권으로 끝내는 실전 LLM 파인튜닝,GPT 원리부터 Gemma 2 · Llama 3 · Whisper · Qwen2-VL 파인튜닝 및 vLLM 서빙까지,강다솔,위키북스,2026년 02월,10%,"28,800원","32,000원","1,134",0,
246,176410996,맛있는 디자인 포토샵&일러스트레이터 CC 2026,누구나 쉽게 배우고 AI 기능까지 제대로 써먹는 그래픽 입문서,"박정아,윤이사라",한빛미디어,2026년 02월,10%,"23,400원","26,000원","4,806",139,10.0
247,170504548,된다! 네이버 스마트플레이스,"네이버 지도에 우리 가게가 가장 먼저 뜬다! 손님이 알아서 찾아오는 매장 홍보법! 리뷰관리, 황금 키워드 설정, 체험단 운영, AI 활용법",고수진,이지스퍼블리싱,2026년 01월,10%,"19,800원","22,000원","1,821",20,10.0
248,167584726,AI 자율학습  커서ⅹAI로 완성하는 나만의 웹 서비스,Cursor와 Gemini API로  기획부터 개발ㆍ배포까지 배우는 실무형 바이브 코딩,성구(강성규),길벗,2025년 12월,10%,"21,600원","24,000원","2,232",28,9.9
249,167463219,Do it! C 언어 프로그래밍 입문,코딩 초보도 끝까지 따라 하는 실습형 입문서,조성호,이지스퍼블리싱,2025년 11월,10%,"23,400원","26,000원","1,668",10,10.0
250,165275154,쉽게 배우고 바로 쓰는 에듀테크 첫걸음,교사를 위한 실전 가이드북,"조종현,박미지,김승길",성안당,2025년 11월,10%,"16,200원","18,000원","2,430",24,10.0
251,162322988,챗GPT·퍼플렉시티·클로드·코파일럿·제미나이 다 잘함,97가지 활용 사례로 배우는 최강 AI 5대장 완전정복,이호정,리코멘드,2025년 11월,10%,"25,200원","28,000원","8,358",4,10.0
252,161405494,포토샵 AI with 파이어플라이,이미지 보정과 합성부터 AI 기능을 활용한 디자인 창작까지!,JASON KIM,영진닷컴,2025년 11월,10%,"22,500원","25,000원",738,0,
253,160471520,이것이 UX/UI 디자인이다,실무 디자인 방법론으로서의 UX/UI 디자인,조성봉,위키북스,2025년 10월,10%,"31,500원","35,000원",714,0,
254,159417254,나노 바나나,매일매일 쓰는 제미나이 AI,"문수민,박범희,앤미디어",생능북스,2025년 11월,10%,"21,600원","24,000원","14,391",48,9.8
255,154286556,Do it! 커서로 시작하는 AI 코딩 입문,"웹 앱 제작, 데이터베이스 연동, 프롬프트 작성법, MCP 연결, 바이브 코딩, 서비스 배포, 깃허브 활용",고경희,이지스퍼블리싱,2025년 09월,10%,"20,700원","23,000원","4,536",20,9.9
256,153061112,"생성형 AI와 엔트리로 12가지 인공지능 작품 만들기 with 뤼튼, 캔바, 미리캔버스, 투닝, ChatGPT, 위스크, 수노",AI와 엔트리를 활용한 주제별/수준별 12가지 인공지능 작품 만들기,"전진아,김수연",앤써북,2025년 09월,10%,"18,900원","21,000원","3,087",11,10.0
257,152369808,AI 캡컷,매일매일 쓰는 올인원 AI,"민지영,문수민,앤미디어",생능북스,2025년 09월,10%,"23,400원","26,000원","8,544",41,9.9
258,152119137,AI에이전트 시대 젠스파크 AI 300배 활용법,,"최재용,권혁용,나병인,노지영,신진주저 외 5명정보 더 보기/감추기최재용권혁용나병인노지영신진주유미경장선경전상권정현정김진선",미디어북,2025년 08월,,"20,000원","20,000원","4,494",17,8.6
259,150011529,데이터 삽질 끝에 UX가 보였다,스타트업 전문 프로덕트 디자이너가 들려주는 현실 데이터 드리븐,이미진,한빛미디어,2025년 07월,10%,"23,400원","26,000원","3,522",27,9.8
260,149195623,PostgreSQL DBA를 위한 Admin 이야기,,"김시연,최두원",디비안(DBian),2025년 07월,10%,"26,100원","29,000원","2,172",1,10.0
261,149193207,인프라 엔지니어의 교과서,IT 인프라 세계의 첫 길잡이,사노 유타카저/김성훈역,길벗,2025년 07월,10%,"19,800원","22,000원","1,704",11,10.0
262,148124010,시작하세요! 도커/쿠버네티스,친절한 설명으로 쉽게 이해하는 컨테이너 관리,용찬호,위키북스,2025년 07월,10%,"32,400원","36,000원","1,974",3,10.0
263,147977458,버려지는 디자인 통과되는 디자인 - 편집 디자인,더 좋은 디자인을 만드는 레이아웃의 비밀,"이미정,유은진",길벗,2025년 07월,10%,"20,700원","23,000원","3,804",35,9.9
264,147735087,생성형 AI를 위한 프롬프트 엔지니어링,"랭체인, 스테이블 디퓨전, 미드저니, 챗GPT를 다루는 가장 실용적인 방법","제임스 피닉스,마이크 테일러저/정의형,정한결역",한빛미디어,2025년 06월,10%,"34,200원","38,000원","5,802",9,10.0
265,147103661,처음이야? 파이썬 기초,동영상 강의로 배우는 292개 코드 따라하기(핵심노트+오픈채팅+스터디),"윤영빈,오환,이용희",영진닷컴,2025년 06월,10%,"18,000원","20,000원","2,709",9,10.0
266,147034290,2022 개정과 IB 교육 철학을 적용한 초등 개념기반 탐구수업•서술형평가 설계와 실천,"깊이있는 학생주도 수학탐구수업, 핵심아이디어 연계 핵심전이과제, 수학 서술형평가 체계적 접근, 다했니? AI 쫑알이 활용",진경오,앤써북,2025년 05월,10%,"18,900원","21,000원","3,618",12,9.8
267,143539772,한 권으로 끝내는 아두이노 입문+실전 (종합편),기초부터 수준 높은 프로젝트까지,"서민우,코코랩스",앤써북,2025년 03월,10%,"19,800원","22,000원","2,634",1,10.0
268,141262171,된다! 맥북&아이맥 - 맥OS 세쿼이아 판,,"쌤쌤티비,케이트",이지스퍼블리싱,2025년 01월,10%,"17,100원","19,000원","2,130",7,10.0
269,140256885,파이썬 업무 자동화 일잘러 되기 + 챗GPT,"파이썬, 엑셀, 워드, 파워포인트, 데이터 수집/분석, 23가지 자동화 프로그램 업무 자동화 능력자가 되기 위한 풀 패키지",메이허,골든래빗,2025년 01월,10%,"32,400원","36,000원","1,314",4,10.0
270,134029109,된다! 블로그 10분 작성법,상위 1% 블로거가 쓰는 생성형 AI 활용 노하우,코예커플,이지스퍼블리싱,2024년 10월,10%,"16,200원","18,000원","1,920",52,9.9
271,131189891,잘 읽히는 보고서 문장의 비밀,"1,000만 직장인을 위한 보고서 문장 기술 27가지",임영균,한빛미디어,2024년 08월,10%,"16,200원","18,000원","1,980",35,9.7
272,130153561,프롬프트 엔지니어의 업무일지,국내 1호 프롬프트 엔지니어가 꺼내 놓은 프롬프트 엔지니어링의 진짜 실무 이야기,강수진,리코멘드,2024년 08월,10%,"25,200원","28,000원","1,584",19,7.6
273,126829855,엔트리 인공지능 with 햄스터 로봇,,"강윤지,박찬규,강성웅,김원유,심재민저 외 5명정보 더 보기/감추기강윤지박찬규강성웅김원유심재민김연구홍성용김경상정인재박광현",영진닷컴,2024년 05월,10%,"16,200원","18,000원","1,206",4,9.5
274,126112113,DSLR&미러리스 사진&영상 촬영백과,데르센 김용만의 한 권으로 끝내는,김용만,성안당,2024년 04월,10%,"34,200원","38,000원",900,10,10.0
275,126037720,마인크래프트 몹 완벽 가이드,,Mojang Studio저/이주안역,영진닷컴,2024년 04월,10%,"16,200원","18,000원","4,164",23,9.6
276,125606390,Do it! C++ 완전 정복,기초부터 실전까지 제대로 배운다!,"조규남,문종채",이지스퍼블리싱,2024년 03월,10%,"28,800원","32,000원","4,236",24,9.2
277,125318563,된다! 네이버 블로그 상위 노출,,황윤정,이지스퍼블리싱,2024년 03월,10%,"16,200원","18,000원","1,602",35,9.7
278,125293471,오토캐드 40시간 완성,,신동진,피앤피북,2024년 03월,10%,"18,000원","20,000원","2,994",6,10.0
279,124806989,모두의 네트워크 기초,10일만에 배우는 네트워크,서지영,길벗,2024년 01월,10%,"21,600원","24,000원","1,920",14,9.7
280,123452278,모두를 위한 메타버스 젭(ZEP) 크리에이터,"미리캔버스, 캔바, 비트모지, 스페이셜, 아이코그램, 픽사베이 등 다양한 도구를 활용.. 메타버스 공간 연출!","김경희,공다예",광문각출판미디어,2023년 11월,,"20,000원","20,000원",462,1,10.0
281,121552667,보이지 않는 위협,66가지 이야기로 풀어낸 사이버 보안의 전장,김홍선,한빛미디어,2023년 08월,10%,"16,920원","18,800원",924,34,9.5
282,120530104,"HMI를 활용한 스마트팜, 스마트 팩토리 DIY",,"변정한,박주광,이새봄",생각나눔,2023년 07월,10%,"16,200원","18,000원",618,0,
283,118397432,카프카 핵심 가이드,대규모 실시간 데이터와 스트림 처리,"그웬 샤피라,토드 팔리노,라지니 시바람,크리트 페티저/이동진역",제이펍,2023년 04월,10%,"29,700원","33,000원","2,358",8,9.5
284,117373102,코딩 자율학습 나도코딩의 파이썬 입문,,나도코딩,길벗,2023년 02월,10%,"21,600원","24,000원","9,429",309,9.8
285,115536646,회사 실무에 힘을 주는 한글 2022,"2010, 2014, 2016(NEO), 2018, 2020 모든 버전 활용 가능",김로사,정보문화사,2022년 11월,10%,"20,700원","23,000원","1,776",47,9.9
286,114627204,된다! 실무 엑셀 파워포인트 워드&한글,‘짤막한 강좌’ 한쌤의 고품격 강의 제공!,"한정희,이충욱",이지스퍼블리싱,2022년 10월,10%,"27,000원","30,000원","1,986",66,9.7
287,110269462,솔리드웍스 50시간 완성 (조립·도면편),,신동진,피앤피북,2022년 06월,10%,"18,000원","20,000원","1,908",4,8.0
288,109147563,꼼꼼한 아마존 셀러 가이드북,가입부터 마케팅까지,서주영,e비즈북스,2022년 05월,10%,"25,650원","28,500원",852,13,9.7
289,105775606,된다! 깨비의 DSLR & 미러리스 사진 수업,"카메라 입문 강의만 600회 이상, 10년 차 프로 강사의 강의를 한 권으로 만나다",박기덕,이지스퍼블리싱,2022년 01월,10%,"16,200원","18,000원","2,316",26,9.9
290,105764506,모두의 리눅스,누구나 쉽게 시작하는 리눅스 기초,"미야케 히데아키,오스미 유스케저/이동규역",길벗,2021년 12월,10%,"22,500원","25,000원",924,12,9.7
291,105629521,로블록스 게임 제작 점프맵 만들기,Roblox로 배우는 기초 코딩,노페어(Nofair),디지털북스,2022년 01월,10%,"18,000원","20,000원",864,8,9.0
292,105281193,마인크래프트 전투 핸드북,,Mojang Studio저/이주안역,영진닷컴,2021년 11월,10%,"10,800원","12,000원","1,308",23,9.7
293,103415627,Real MySQL 8.0 (1권),개발자와 DBA를 위한 MySQL 실전 가이드,"백은빈,이성욱",위키북스,2021년 09월,10%,"27,000원","30,000원","3,150",15,9.9
294,103210348,피닉스 프로젝트,위기에 빠진 IT 프로젝트를 구하라,"진 킴,케빈 베어,조지 스패포드저/박현철,류미경역",에이콘출판사,2021년 08월,10%,"22,500원","25,000원",606,0,
295,101634184,마인크래프트 건축 가이드 미니 프로젝트,,Mojang Studio저/이주안역,영진닷컴,2021년 05월,10%,"10,800원","12,000원","2,478",20,9.8
296,98997716,한 권으로 읽는 컴퓨터 구조와 프로그래밍,"더 나은 소프트웨어 개발을 위한 하드웨어, 자료구조, 필수 알고리즘 등 프로그래머의 비밀 노트",조너선 스타인하트저/오현석역,책만,2021년 04월,10%,"31,500원","35,000원","2,052",52,9.0
297,96433116,"실전 보고서 작성 기술 with 파워포인트, 워드, 한글",18년 차 전문 컨설턴트가 알려주는 가독성 높은 보고서를 빠르게 작성하는 노하우,홍장표,한빛미디어,2020년 12월,10%,"16,200원","18,000원",762,37,9.4
298,91433923,이것이 취업을 위한 코딩 테스트다 with 파이썬,"취업과 이직을 결정하는 알고리즘 인터뷰 완벽 가이드, C/C++, 자바 코드 제공",나동빈,한빛미디어,2020년 08월,10%,"30,600원","34,000원","2,370",65,9.5
299,91219874,Do it! 자료구조와 함께 배우는 알고리즘 입문 : 파이썬 편,,시바타 보요저/강민역,이지스퍼블리싱,2020년 07월,10%,"19,800원","22,000원","2,628",36,9.2
300,89607047,쿠버네티스 인 액션,그림과 상세한 설명으로 명확하게 이해하는,"마르코 룩샤저/강인호,황주필,이원기,임찬식역",에이콘출판사,2020년 03월,10%,"40,500원","45,000원",930,7,10.0
301,86006680,엑셀 기초,쉽게 배우고 생활에 바로 쓰는,(주)지아이에듀테크,아이콕스(iCox),2020년 01월,10%,"9,900원","11,000원","2,094",12,9.3
302,67512293,인스파이어드,감동을 전하는 IT 제품은 어떻게 만들어지는가?,마티 케이건저/황진수역,제이펍,2018년 12월,10%,"21,600원","24,000원","2,970",27,8.9
303,37335066,라프 코스터의 재미이론 10주년 개정판,재미와 게임의 가치를 통찰하는 전 세계 게임 개발자의 필독서!,"라프 코스터저/유창석,전유택역",길벗,2017년 03월,10%,"19,800원","22,000원","4,056",17,8.2
304,35405678,Mano의 컴퓨터시스템구조,,M. Morris Mano저 /김종상역,프로텍미디어,2017년 01월,,"33,000원","33,000원","1,842",6,9.7
305,20896427,프로 사진가들의 사진 보정과 렌즈 활용법,,이시다 아키히사등,이지스퍼블리싱,2015년 09월,10%,"24,300원","27,000원",228,16,9.3
306,15238736,사용자를 생각하게 하지 마!,웹과 모바일 사용성 원칙으로 디자인하는 UX,스티브 크룩저 /이미령역,인사이트(insight),2014년 11월,10%,"16,200원","18,000원","2,778",24,9.7
