brand,name,original_price,discount_price,url
알디콤,[1+1]알디콤 Plus 숙취해소제 21ml 4포입,17300,17300,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000227457&dispCatNo=100000200010025&trackingCd=Cat100000200010025_MID&t_page=카테고리관&t_click=영양제_전체__상품상세&t_number=1
종근당건강,프로메가 알티지 오메가3 듀얼 40 캡슐 더블 기획세트 (40일분),29800,9900,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000173904&dispCatNo=100000200010025&trackingCd=Cat100000200010025_MID&t_page=카테고리관&t_click=영양제_전체__상품상세&t_number=2
바이오렉트라,바이오렉트라 아연+셀레늄 5050mg 20포 (20일분),66000,59400,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000246049&dispCatNo=100000200010025&trackingCd=Cat100000200010025_MID&t_page=카테고리관&t_click=영양제_전체__상품상세&t_number=3
바이오렉트라,바이오렉트라 마그네슘 400 울트라 다이렉트,35000,31500,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000246134&dispCatNo=100000200010025&trackingCd=Cat100000200010025_MID&t_page=카테고리관&t_click=영양제_전체__상품상세&t_number=4
멜라메이트,[포켓몬 에디션] 식물성 멜라토닌 함유 멜라메이트 구미/로우슈가 구미 20/40/50구미 (+잠만보 말랑볼),13000 ~,13000 ~,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000223554&dispCatNo=100000200010025&trackingCd=Cat100000200010025_MID&t_page=카테고리관&t_click=영양제_전체__상품상세&t_number=5
알디콤,[1+1]알디콤 숙취해소제 15ml 4포입,14800,14800,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000198838&dispCatNo=100000200010025&trackingCd=Cat100000200010025_MID&t_page=카테고리관&t_click=영양제_전체__상품상세&t_number=6
코자아,코자아 식물성 멜라토닌 함유 젤리/드링크 (단품/기획),36000 ~,36000 ~,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000236755&dispCatNo=100000200010025&trackingCd=Cat100000200010025_MID&t_page=카테고리관&t_click=영양제_전체__상품상세&t_number=7
대원제약,[올영단독/수면 효율증가]대원제약 대원헬스 꿀잠샷 20gX12포 (12일분),26900,26900,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000247884&dispCatNo=100000200010025&trackingCd=Cat100000200010025_MID&t_page=카테고리관&t_click=영양제_전체__상품상세&t_number=8
비비랩,[차학연 PICK/1+1] 비비랩 콜라겐 젤리 14포 2종 택1 (석류콜라겐S/콜라겐탱글업),25900 ~,25900 ~,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000226019&dispCatNo=100000200010025&trackingCd=Cat100000200010025_MID&t_page=카테고리관&t_click=영양제_전체__상품상세&t_number=9
대원제약,[올영단독/코상태개선] 대원제약 대원헬스 삼백초추출물 코편샷20g x 12포(12일분),26900,20500,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000250739&dispCatNo=100000200010025&trackingCd=Cat100000200010025_MID&t_page=카테고리관&t_click=영양제_전체__상품상세&t_number=10
